Trials,Throughput,Responsetime,cpu_req,mem_req,cpu_lim,mem_lim
1,184.083,1597,1.18672179917009,707.089525543773,1.18672179917009,707.089525543773
2,278.5,956.167,2.43263497132218,664.78427352534,2.43263497132218,664.78427352534
3,234.917,1191.33,2.14588052136385,576.060155977274,2.14588052136385,576.060155977274
4,157.617,1922.5,1.21291281412311,537.51861309163,1.21291281412311,537.51861309163
5,288.467,909.5,2.38495027748535,579.283920104969,2.38495027748535,579.283920104969
6,215.05,1330.83,1.81784933777869,786.925485879168,1.81784933777869,786.925485879168
7,284.983,953.833,2.82128172513586,574.211171712639,2.82128172513586,574.211171712639
8,302.267,815.833,256.214425124593,952.024604134868,2.56214425124593,952.024604134868
9,201.6,1367.33,214.460604953034,419.605637649249,2.14460604953034,419.605637649249
10,241.55,1084.5,193.918987633461,917.160262007132,1.93918987633461,917.160262007132
11,295.517,827,276.751218641903,1005.95144143445,2.76751218641903,1005.95144143445
12,247.867,1063.67,246.164992829711,943.877428280155,2.46164992829711,943.877428280155
13,166.083,1811.83,173.853683560291,506.956475303772,1.73853683560291,506.956475303772
14,160.767,1836,253.728359902189,430.695081918335,2.53728359902189,430.695081918335
15,185.983,1571,119.837176554466,571.698945983389,1.19837176554466,571.698945983389
16,212.767,1301.33,131.735357121331,603.912048298135,1.31735357121331,603.912048298135
17,236.067,1123.17,149.805143961995,927.415720664619,1.49805143961995,927.415720664619
18,233.417,1171.5,280.199348899444,760.589315457466,2.80199348899444,760.589315457466
19,219,1210.5,285.515119750637,1016.3996288861,2.85515119750637,1016.3996288861
20,246.133,1066.33,249.009310452372,758.631528627769,2.49009310452372,758.631528627769
21,414.45,494.5,288.662397476339,763.23550913684,2.88662397476339,763.23550913684
22,233.617,1181.67,226.477058314267,779.276509431349,2.26477058314267,779.276509431349
23,439.967,452,287.008519538756,669.169694597004,2.87008519538756,669.169694597004
24,242.467,1113.17,281.105145158302,652.702801112539,2.81105145158302,652.702801112539
25,199.383,1374.33,2.1992393641373,560.650447057763,2.1992393641373,560.650447057763
26,140.017,2173.33,1.53340698981767,422.804208608826,1.53340698981767,422.804208608826
27,159.1,1738.5,1.06906406272276,901.133021826921,1.06906406272276,901.133021826921
28,211.7,1324.67,1.3570529655589,631.51393685583,1.3570529655589,631.51393685583
29,193.933,1391.5,1.69657885352871,752.278315261941,1.69657885352871,752.278315261941
30,194.967,1389.83,1.75103381429588,561.75614300058,1.75103381429588,561.75614300058
31,200.117,1355,2.05255842679849,823.695370995263,2.05255842679849,823.695370995263
32,177.117,1502.33,1.69914188262423,579.263800432418,1.69914188262423,579.263800432418
33,194.5,1418.83,1.81331560030927,985.586798211775,1.81331560030927,985.586798211775
34,188.883,1419.83,1.23163079565991,913.9984006336,1.23163079565991,913.9984006336
