Instances,Throughput,Responsetime,TOTAL_PODS_MEM,TOTAL_PODS_CPU,CPU_MIN,CPU_MAX,MEM_MIN,MEM_MAX,CLUSTER_MEM%,CLUSTER_CPU%,WEB_ERRORS,MAXINLINELEVEL
1,626.067,263.667,538.259,1.30854,1.17638589570499,1.58695834591181,525,554,19.5593,27.1021,0,85
2,678.833,220.667,549.431,1.29088,1.15302957529045,1.56205878876587,539,561,19.5723,27.3083,0,244
3,626.167,265,536.339,1.35204,1.17044482326339,1.5925815638207,522,548,19.5367,27.2025,0,375
4,646.4,248.667,556.716,1.31588,1.13622394506991,1.56524093179313,540,566,19.6321,27.3082,0,91
5,645.567,246.333,544.08,1.31814,1.19644390033263,1.52919268046264,529,554,19.51,27.4109,0,478
6,629.417,262.167,538.272,1.2984,1.16448823051327,1.5576556013214,524,558,19.5416,26.9167,0,32
7,632.017,260.167,545.874,1.31946,1.14929239327226,1.55269092484833,534,559,19.5848,26.9807,0,351
8,597.133,293.167,547.231,1.29353,1.12091452350197,1.57201115166603,531,564,19.6295,26.9389,0,392
9,638.517,253.167,546.999,1.29485,1.05128942474202,1.57229922292641,530,563,19.5517,27.4889,0,416
10,656.483,238.833,540.783,1.31015,1.17957293207879,1.54444396590065,526,555,19.5614,27.4481,0,483
11,617.75,270.5,543.435,1.31148,1.06890251192506,1.53434165749591,529,553,19.5846,27.7639,0,241
12,658.25,237,551.063,1.31111,1.15034840330007,1.60388091775033,538,566,19.6268,27.6734,0,220
13,612.183,277.167,547.079,1.30897,1.10025013206031,1.54343171784615,534,564,19.5736,27.3577,0,222
14,656.383,238.833,550.554,1.31309,1.12100731680598,1.52813387567263,532,568,19.589,27.5173,0,175
15,619.733,270.667,545.626,1.31281,1.18304226761316,1.52812478855827,528,567,19.5976,27.3485,0,302
16,628.067,264.667,539.152,1.30002,1.15085672198226,1.52110169773082,520,559,19.5953,27.0575,0,164
17,660.783,239.5,538.217,1.2993,1.15988062242137,1.59173192972223,524,553,19.6445,27.7385,0,283
18,614.7,277.167,544.445,1.28435,1.16043977939845,1.50361116080747,533,558,19.6295,27.1511,0,171
19,643.067,250.167,525.592,1.27936,1.00818626314942,1.50540591398553,501,542,19.5894,27.2502,0,313
20,623.967,267,538.15,1.31868,1.13888672864574,1.55549573901898,522,554,19.5993,27.1745,0,215
21,640.7,252,538.591,1.30673,1.16849328312946,1.5504601922793,519,552,19.6076,27.2035,0,111
22,642.367,250,544.092,1.30679,1.14684692941544,1.58665156565549,533,556,19.5892,27.3913,0,449
23,624.533,265.167,540.365,1.32232,1.16688229835316,1.53944384276526,531,558,19.6621,27.1632,0,262
24,655.55,240.167,538.216,1.31802,1.18705281358975,1.52610837541537,517,553,19.6169,27.0443,0,197
25,651.833,242,531.825,1.31163,1.19547063494776,1.51728437491435,515,544,19.6088,27.0114,0,146
26,649.667,244.833,538.591,1.30229,1.143784711057,1.55791525143955,528,547,19.6027,27.3551,0,353
27,618.5,272.5,534.471,1.3212,1.05919409396833,1.54866380471547,515,549,19.6169,27.7068,0,268
28,603.95,287.833,544.126,1.30891,1.16946397762222,1.59350836006843,536,559,19.6268,27.7124,0,34
29,625.65,265.333,536.543,1.31872,1.16237501241961,1.60530602667558,524,549,19.6073,27.3551,0,193
30,620.783,269.667,542.087,1.32245,1.16546684589585,1.54326703963677,535,549,19.6789,27.4302,0,321
31,609.167,280.667,542.318,1.32454,1.17605039978809,1.56517775561356,525,571,19.5642,27.5988,0,133
32,610.95,279,555.369,1.31338,1.17687140452386,1.55421013775232,530,578,19.6459,27.4204,0,225
33,611.05,278.833,534.169,1.31762,1.19982389047144,1.52839938237589,525,555,19.591,27.2318,0,245
34,600.85,288.5,543.902,1.27662,1.15245067693708,1.51368759302597,528,565,19.6075,27.3165,0,72
35,593.467,295.833,532.316,1.28996,0.991012364423365,1.52148918341475,495,558,19.5869,27.483,0,189
36,614.783,276.333,551.182,1.30047,1.11600720301975,1.53403546352818,535,562,19.6252,27.735,0,94
37,636.267,257,542.657,1.29324,1.18528705164477,1.52403511459457,529,568,19.5952,27.3442,0,126
38,607.55,281.167,541.907,1.33266,1.2087090466889,1.59562877688354,524,556,19.63,27.3736,0,489
39,649.917,247,542.903,1.28546,1.12390649374656,1.53242854729082,522,553,19.6209,27.1774,0,285
40,607.483,280.333,539.582,1.32093,1.15478911594597,1.60578264662576,523,556,19.652,27.3461,0,152
41,630.5,262.167,544.441,1.33193,1.20581002996299,1.58295807445194,531,557,19.6474,27.6936,0,57
42,624.583,264.833,554.146,1.32756,1.17968355085032,1.57146731076602,528,584,19.684,27.5434,0,456
43,479.017,441.167,519.544,1.3795,1.19756050250105,1.64846602390945,507,527,19.6018,27.9159,0,0
44,636,254.833,549.887,1.31309,1.18492725924566,1.55276910267666,535,563,19.6881,27.5908,0,340
45,622.633,268.833,539.981,1.31578,1.12246889223267,1.55145814363243,522,569,19.7205,27.7571,0,281
46,627.983,264,535.491,1.28657,1.14274535604429,1.54108620877154,526,553,19.737,27.2662,0,384
47,651.333,243.667,546.727,1.30319,1.1768930104327,1.55921111658803,533,558,19.7117,27.4904,0,228
48,612.667,278.667,541.398,1.28953,1.11853373448456,1.49849784900666,535,559,19.6752,27.2587,0,184
49,616.117,274.667,549.245,1.29679,1.16373340415129,1.52913161422064,528,563,19.6819,27.3968,0,422
50,623.267,268,541.82,1.30938,1.15071069398818,1.5734157277582,530,558,19.6903,27.3157,0,212
